coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Sat Mar 17 18:38:48 +0000 2018,EAW18,,https://twitter.com/bergisjules/status/975041617684934656,0,975079016209178624,,,,en,,false,3,975052967773696001,pmhswe,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @pmhswe: Really looking forward to #EAW18 starting on Thursday, 3/22! https://t.co/ZMRjEL2tQH",https://twitter.com/BergisJules/status/975079016209178624,Sat Dec 15 04:02:22 +0000 2012,BergisJules,false,immigrant | archivist | doer of things | @DocumentNow https://t.co/s643ifXmdI,16531,2850,1109,122,"California, USA",Bergis Jules 🇱🇨,BergisJules,15287,,https://medium.com/@BergisJules,false
,Sat Mar 17 18:41:51 +0000 2018,,,,0,975079782990958599,,,,en,,,77,975041617684934656,BergisJules,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BergisJules: On March 22nd-24th, 2018 @documentnow and @rhizome/@webrecorder_io will host Ethics and Archiving the Web in NYC. I hope y…",https://twitter.com/rhizome/status/975079782990958599,Fri Apr 20 01:27:55 +0000 2007,rhizome,false,"Commissioning, presenting, and preserving born-digital art. Online since 1996 at https://t.co/qoyoeju32A",3884,58424,1189,2284,The New Museum | 235 Bowery,Rhizome,rhizome,8354,,http://eepurl.com/cQfZc,false
,Sat Mar 17 22:21:56 +0000 2018,,,,0,975135169832275968,,,,en,,,77,975041617684934656,BergisJules,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BergisJules: On March 22nd-24th, 2018 @documentnow and @rhizome/@webrecorder_io will host Ethics and Archiving the Web in NYC. I hope y…",https://twitter.com/bga_archivist/status/975135169832275968,Sat Dec 14 00:07:55 +0000 2013,bga_archivist,false,"archivist @UIarchives, feminist, reviews editor for the American Archivist, promoter of evidential value (tweets my own). she/her",1832,370,795,29,,Bethany Anderson,bga_archivist,1205,,,false
,Sat Mar 17 19:19:25 +0000 2018,,,,0,975089236931117058,,,,en,,,77,975041617684934656,BergisJules,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @BergisJules: On March 22nd-24th, 2018 @documentnow and @rhizome/@webrecorder_io will host Ethics and Archiving the Web in NYC. I hope y…",https://twitter.com/fraistat/status/975089236931117058,Thu Mar 06 15:13:21 +0000 2008,fraistat,false,"Prof. of English UMD & President, Keats-Shelley Assoc.; Former Director, @UMD_MITH.Past Chair, @ADHOrg; & Co-Founder, @DHcenterNet",4480,3858,1676,203,"College Park, MD",Neil Fraistat,fraistat,10175,,https://www.english.umd.edu/profiles/nfraistat,false
,Sat Mar 17 16:42:37 +0000 2018,,,,0,975049779397971970,,,,en,,,77,975041617684934656,BergisJules,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BergisJules: On March 22nd-24th, 2018 @documentnow and @rhizome/@webrecorder_io will host Ethics and Archiving the Web in NYC. I hope y…",https://twitter.com/webrecorder_io/status/975049779397971970,Sat May 31 02:56:55 +0000 2014,webrecorder_io,false,Web Archiving for All! https://t.co/M95nZDQMS3 is a project of @Rhizome Tweets by @IlyaKreymer https://t.co/HTdDFypD55,581,1518,135,49,"San Francisco, CA",Webrecorder,webrecorder_io,288,,http://webrecorder.io,false
,Sat Mar 17 16:53:50 +0000 2018,,,,0,975052603125063682,,,,en,,,77,975041617684934656,BergisJules,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @BergisJules: On March 22nd-24th, 2018 @documentnow and @rhizome/@webrecorder_io will host Ethics and Archiving the Web in NYC. I hope y…",https://twitter.com/fletcherdurant/status/975052603125063682,Thu Jun 25 01:36:37 +0000 2009,fletcherdurant,false,Conservation. Paper. Books. Libraries. Archives. Preservation is access. Any opinions are purely my own. Or borrowed. Definitely not that of an employer.,36878,1128,871,60,"Gainesville, FL",Fletcher Durant,fletcherdurant,14757,,,false
,Sat Mar 17 19:20:50 +0000 2018,eaw18,,,3,975089594952757248,justin_littman,975084518280482800,481186914,en,,,0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@justin_littman you're ""stealing"" one of the points I plan to make next week at #eaw18...  small archives will attract small actors, but large actors will just go to the source. e.g., as a former fed employee, my data has been stolen more times than I can count; what's a univ lib gonna do to me?",https://twitter.com/phonedude_mln/status/975089594952757248,Fri Jun 04 14:56:08 +0000 2010,phonedude_mln,false,"Head of @WebSciDL, Computer Science, Old Dominion University; Formerly: @NASA_Langley (1991-2002), @UNCSILS (2000-2001); 
OAI-PMH OAI-ORE Memento ResourceSync",1536,859,414,72,"Norfolk, VA",Michael L. Nelson,phonedude_mln,5539,,http://www.cs.odu.edu/~mln/,false
,Sat Mar 17 18:37:36 +0000 2018,EAW18,,https://twitter.com/bergisjules/status/975041617684934656,0,975078713485230080,,,,en,,false,3,975052967773696001,pmhswe,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @pmhswe: Really looking forward to #EAW18 starting on Thursday, 3/22! https://t.co/ZMRjEL2tQH",https://twitter.com/documentnow/status/975078713485230080,Sun Aug 23 15:06:18 +0000 2015,documentnow,false,tools + community + ethics for documenting the now / banner image: Haaaaands Up! Dooooon't Shoot! by @jbouie. Tweets by @BergisJules & @edsu,1335,2060,318,74,in the network,DocumentingTheNow,documentnow,2005,,http://www.docnow.io,false
,Sat Mar 17 18:36:11 +0000 2018,,,,0,975078358966001666,,,,en,,,77,975041617684934656,BergisJules,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BergisJules: On March 22nd-24th, 2018 @documentnow and @rhizome/@webrecorder_io will host Ethics and Archiving the Web in NYC. I hope y…",https://twitter.com/CCP_org/status/975078358966001666,Tue Jan 29 15:00:31 +0000 2013,CCP_org,false,"The Colored Conventions Project is a collaborative DH project that brings nineteenth-century Black organizing to digital life. 
IG:Colored_Conventions",6073,3530,2738,65,University of Delaware,Colored Conventions,CCP_org,4426,,http://coloredconventions.org,false
,Sat Mar 17 16:55:17 +0000 2018,EAW18,,https://twitter.com/bergisjules/status/975041617684934656,9,975052967773696001,,,,en,,false,3,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Really looking forward to #EAW18 starting on Thursday, 3/22! https://t.co/ZMRjEL2tQH",https://twitter.com/pmhswe/status/975052967773696001,Tue Apr 29 14:51:03 +0000 2008,pmhswe,false,"A librarian turned program officer - tweeting as me. And it's ""Sway.""  She/her/hers and my name.",20653,2990,994,256,"New York, NY",Patricia Hswe,pmhswe,32514,,http://patriciahswe.net/,false
