coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Wed Mar 21 10:51:28 +0000 2018,EAW18,,,0,976410959492370432,,,,en,,,18,976281030536523776,BergisJules,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @BergisJules: Really appreciate all those who are able to rebook travel in order to be able to join us for #EAW18 in NYC. For those who…,https://twitter.com/TurnedPageist/status/976410959492370432,Mon Jul 10 20:05:10 +0000 2017,TurnedPageist,false,"J.D.; MLIS '09. Spectrum Scholar 2018-19; Code4Lib Scholar, RBMS Scholar 2018. I've been places & done things. Academic archives & digital humanities. she/her",6761,425,1204,9,"Massachusetts, USA",#HeyGina,TurnedPageist,3646,,,false
,Wed Mar 21 11:21:00 +0000 2018,,,,1,976418391014731781,edsu,976404319158329300,14331818,en,,,0,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",@edsu Good luck!,https://twitter.com/sdaythomson/status/976418391014731781,Fri Sep 05 13:04:57 +0000 2014,sdaythomson,false,Research Officer for Digital Preservation Coalition. Preserving bits and drinking tea. Views my own.,1566,827,555,33,"Glasgow, UK",Sara Day Thomson,sdaythomson,1596,,,false
,Wed Mar 21 02:18:41 +0000 2018,EAW18,,,0,976281915304136705,,,,en,,,18,976281030536523776,BergisJules,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",RT @BergisJules: Really appreciate all those who are able to rebook travel in order to be able to join us for #EAW18 in NYC. For those who…,https://twitter.com/rhizome/status/976281915304136705,Fri Apr 20 01:27:55 +0000 2007,rhizome,false,"Commissioning, presenting, and preserving born-digital art. Online since 1996 at https://t.co/qoyoeju32A",3884,58424,1189,2284,The New Museum | 235 Bowery,Rhizome,rhizome,8354,,http://eepurl.com/cQfZc,false
,Wed Mar 21 00:24:34 +0000 2018,,,,0,976253197869371392,,,,en,,,77,975041617684934656,BergisJules,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BergisJules: On March 22nd-24th, 2018 @documentnow and @rhizome/@webrecorder_io will host Ethics and Archiving the Web in NYC. I hope y…",https://twitter.com/phonedude_mln/status/976253197869371392,Fri Jun 04 14:56:08 +0000 2010,phonedude_mln,false,"Head of @WebSciDL, Computer Science, Old Dominion University; Formerly: @NASA_Langley (1991-2002), @UNCSILS (2000-2001); 
OAI-PMH OAI-ORE Memento ResourceSync",1536,859,414,72,"Norfolk, VA",Michael L. Nelson,phonedude_mln,5539,,http://www.cs.odu.edu/~mln/,false
,Wed Mar 21 00:35:02 +0000 2018,,,,1,976255827987361793,james3neal,976060341703577600,8039622,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@james3neal Thanks! I’m on the road. Driving up from NC.,https://twitter.com/nancynaigle/status/976255827987361793,Fri Mar 06 19:22:09 +0000 2009,nancynaigle,false,"USA Today Bestselling Author of Christmas Joy, coming soon to the Hallmark Channel. Join me on my page https://t.co/XE8MVWQ3g8 &  on https://t.co/XFbpvSsXhD",3954,5651,5910,229,North Carolina,Nancy Naigle,nancynaigle,39723,,http://www.NancyNaigle.com,false
,Wed Mar 21 07:41:16 +0000 2018,,,,0,976363093591719936,,,,en,,,7,976037094702374912,sdaythomson,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @sdaythomson: I'm going to NY to discuss ethics of archiving the web at @rhizome &amp; @documentnow's National Forum @newmuseum Read more ab…,https://twitter.com/HBee2015/status/976363093591719936,Thu Jul 02 00:02:51 +0000 2015,HBee2015,false,"A librarian that works in #WebArchiving, personal interest in football history and occasionally tweets from @SLIPIreland All views are my own.",14221,821,1041,46,"London, England",Helena Byrne,HBee2015,4244,,https://orcid.org/0000-0002-0966-4685,false
,Wed Mar 21 01:27:06 +0000 2018,eaw18,,https://twitter.com/joecar25/status/976219836169838595,11,976268933744549888,,,,en,,false,0,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",72-hour Spotify playlist of all the hold music endured by #eaw18 participants today https://t.co/uXVKMDs9aM,https://twitter.com/rhizome/status/976268933744549888,Fri Apr 20 01:27:55 +0000 2007,rhizome,false,"Commissioning, presenting, and preserving born-digital art. Online since 1996 at https://t.co/qoyoeju32A",3884,58424,1189,2284,The New Museum | 235 Bowery,Rhizome,rhizome,8354,,http://eepurl.com/cQfZc,false
,Wed Mar 21 10:25:05 +0000 2018,eaw18,,,4,976404319158329345,,,,en,,,0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Headed to the station to see if my rescheduled 🚃 to #eaw18 is still gonna leave, despite the forecast for ❄️ ... 🤞",https://twitter.com/edsu/status/976404319158329345,Tue Apr 08 12:43:41 +0000 2008,edsu,false,"I work at @umd_mith, study web archives at @iSchoolUMD & work on @documentnow // I double dare you to follow me on Mastodon https://t.co/uNbSDrHZf6",14241,5472,3422,402,"Silver Spring, MD",Ed Summers,edsu,31270,,http://inkdroid.org,true
,Wed Mar 21 01:31:08 +0000 2018,eaw18,,,6,976269948090834944,,,,en,,,0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","My flight to LGA &amp; #eaw18 was cancelled; automatic rebooking for Wednesday seemed likely to leave me stuck in ATL so I chose a Thursday flight instead.
Sadly, I'll miss @BergisJules's opening, @amplify285's keynote, and @michael_connor's session but I should make lunch.  :-(",https://twitter.com/phonedude_mln/status/976269948090834944,Fri Jun 04 14:56:08 +0000 2010,phonedude_mln,false,"Head of @WebSciDL, Computer Science, Old Dominion University; Formerly: @NASA_Langley (1991-2002), @UNCSILS (2000-2001); 
OAI-PMH OAI-ORE Memento ResourceSync",1536,859,414,72,"Norfolk, VA",Michael L. Nelson,phonedude_mln,5539,,http://www.cs.odu.edu/~mln/,false
,Wed Mar 21 07:44:32 +0000 2018,,,http://eaw.rhizome.org,1,976363915193012224,BergisJules,976281030536523800,1012488631,en,,false,0,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",@BergisJules Will the livestream be on https://t.co/5LnKuKseIg?,https://twitter.com/sdaythomson/status/976363915193012224,Fri Sep 05 13:04:57 +0000 2014,sdaythomson,false,Research Officer for Digital Preservation Coalition. Preserving bits and drinking tea. Views my own.,1566,827,555,33,"Glasgow, UK",Sara Day Thomson,sdaythomson,1596,,,false
