coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Sun Mar 18 13:59:20 +0000 2018,,,,1,975371075013021697,edsu,975370196599926800,14331818,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@edsu @ldodds Yes, that is the plan!",https://twitter.com/michael_connor/status/975371075013021697,Mon Oct 06 03:53:28 +0000 2008,michael_connor,false,Artistic Director @rhizome. Macromedia Flash user.,8644,2824,1236,92,"Rockaway Park, Queens",Michael Connor,michael_connor,3955,,http://www.rhizome.org,false
,Sun Mar 18 15:06:25 +0000 2018,EAW18,,,0,975387957283532800,,,,en,,,8,975375530114650117,toniasutherland,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @toniasutherland: This week! Check out Thursday morning’s Archiving Trauma panel featuring yours truly. It’ll be streaming live! #EAW18…,https://twitter.com/BergisJules/status/975387957283532800,Sat Dec 15 04:02:22 +0000 2012,BergisJules,false,immigrant | archivist | doer of things | @DocumentNow https://t.co/s643ifXmdI,16531,2850,1109,122,"California, USA",Bergis Jules 🇱🇨,BergisJules,15287,,https://medium.com/@BergisJules,false
,Sun Mar 18 14:54:55 +0000 2018,,,http://eaw.rhizome.org,0,975385064522444800,,,,en,,false,17,975356046704332801,edsu,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @edsu: We really couldn’t have planned a better backdrop for the conversation that’ll be going on at https://t.co/dexFYmOED0 this week.…,https://twitter.com/BergisJules/status/975385064522444800,Sat Dec 15 04:02:22 +0000 2012,BergisJules,false,immigrant | archivist | doer of things | @DocumentNow https://t.co/s643ifXmdI,16531,2850,1109,122,"California, USA",Bergis Jules 🇱🇨,BergisJules,15287,,https://medium.com/@BergisJules,false
,Sun Mar 18 13:51:24 +0000 2018,,,,0,975369077077274625,,,,en,,,77,975041617684934656,BergisJules,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BergisJules: On March 22nd-24th, 2018 @documentnow and @rhizome/@webrecorder_io will host Ethics and Archiving the Web in NYC. I hope y…",https://twitter.com/michael_connor/status/975369077077274625,Mon Oct 06 03:53:28 +0000 2008,michael_connor,false,Artistic Director @rhizome. Macromedia Flash user.,8644,2824,1236,92,"Rockaway Park, Queens",Michael Connor,michael_connor,3955,,http://www.rhizome.org,false
,Sun Mar 18 18:31:44 +0000 2018,,,,0,975439625526259712,,,,en,,,77,975041617684934656,BergisJules,"<a href=""http://carbonandroid.com"" rel=""nofollow"">Carbon v2.5</a>","RT @BergisJules: On March 22nd-24th, 2018 @documentnow and @rhizome/@webrecorder_io will host Ethics and Archiving the Web in NYC. I hope y…",https://twitter.com/alisonmarigold/status/975439625526259712,Sun Aug 02 07:32:31 +0000 2009,alisonmarigold,false,"Mycologist in residence at #fablabwgtn, data stewardship, director, #opengov, #openscience, #DIYBio Calls a spade a spade. Tweets are my own, y'all.",10814,1120,280,380,Wellington,Alison Marigold,alisonmarigold,35374,,,false
,Sun Mar 18 12:55:47 +0000 2018,,,,0,975355082584797184,phonedude_mln,975089594952757200,151901549,en,"Silver Spring, MD",,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@phonedude_mln @justin_littman Saying that what we are doing is ethical because larger, more powerful organizations &amp; institutions are doing it already just makes us complicit doesn’t it?",https://twitter.com/edsu/status/975355082584797184,Tue Apr 08 12:43:41 +0000 2008,edsu,false,"I work at @umd_mith, study web archives at @iSchoolUMD & work on @documentnow // I double dare you to follow me on Mastodon https://t.co/uNbSDrHZf6",14241,5472,3422,402,"Silver Spring, MD",Ed Summers,edsu,31270,,http://inkdroid.org,true
,Sun Mar 18 12:52:36 +0000 2018,,,,0,975354281514676224,,,,en,,,77,975041617684934656,BergisJules,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BergisJules: On March 22nd-24th, 2018 @documentnow and @rhizome/@webrecorder_io will host Ethics and Archiving the Web in NYC. I hope y…",https://twitter.com/edsu/status/975354281514676224,Tue Apr 08 12:43:41 +0000 2008,edsu,false,"I work at @umd_mith, study web archives at @iSchoolUMD & work on @documentnow // I double dare you to follow me on Mastodon https://t.co/uNbSDrHZf6",14241,5472,3422,402,"Silver Spring, MD",Ed Summers,edsu,31270,,http://inkdroid.org,true
,Sun Mar 18 03:20:44 +0000 2018,,,,3,975210367600283648,justin_littman,975084518280482800,481186914,en,,,1,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@justin_littman Look at what happened with Cambridge Analytica, a contracting company working for government and defense industry clients ... and with academic researchers. There are lots of actors at work in the surveillance state.",https://twitter.com/edsu/status/975210367600283648,Tue Apr 08 12:43:41 +0000 2008,edsu,false,"I work at @umd_mith, study web archives at @iSchoolUMD & work on @documentnow // I double dare you to follow me on Mastodon https://t.co/uNbSDrHZf6",14241,5472,3422,402,"Silver Spring, MD",Ed Summers,edsu,31270,,http://inkdroid.org,true
,Sun Mar 18 10:00:38 +0000 2018,,,,0,975311004866359296,KevinFoley,975095720595349500,40187868,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@KevinFoley @justin_littman Archiving is as much about access points as data collection. I’m sure tons of agencies are collecting tons of data—it’s both the curation and access aspects that should be of concern.,https://twitter.com/toniasutherland/status/975311004866359296,Wed Nov 05 17:51:17 +0000 2014,toniasutherland,false,"scholar. thinker. teacher. writer. lover. chirps about archives, digital cultures. island girl. she/hers.",12805,612,450,15,"Honolulu, HI",Tonia Sutherland,toniasutherland,2748,,http://toniasutherland.com,false
,Sun Mar 18 15:43:20 +0000 2018,,,http://eaw.rhizome.org,0,975397249411887104,,,,en,,false,17,975356046704332801,edsu,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @edsu: We really couldn’t have planned a better backdrop for the conversation that’ll be going on at https://t.co/dexFYmOED0 this week.…,https://twitter.com/jasonrhody/status/975397249411887104,Thu Mar 20 14:19:07 +0000 2008,jasonrhody,false,"Program Director, Social Data Initiative/Digital Culture/Media&Democracy (SSRC), former grantmaker (NEH_ODH), DH (MITH), lit/media (UMD), #altac. Opinions mine.",10676,2710,1233,168,ny/nj-ish,jasonrhody,jasonrhody,7997,,http://misc.wordherders.net/?page_id=2,false
